"ID","category","names","tags","comment","how many people have commented","introduction","字段1"
1,"visit","日本科学未来館
","science,tech",3.86,148.00,"The National Museum of Emerging Science and Innovation (日本科学未来館 Nippon Kagaku Mirai-kan), simply known as the Miraikan (未来館, literally ""Future Museum""), is a museum created by Japan's Science and Technology Agency.
It was opened in 2001. It is situated in a new purpose-built building in the Odaiba District of Tokyo. It can be reached by the Yurikamome driverless fully automated transit system from downtown Tokyo in about 15 minutes.","timg.jpg"
2,"visit","森ビル デジタルアート ミュージアム エプソン チームラボ ボーダレス","art",3.39,12.00,"東京・お台場のパレットタウン内にオープンした、森ビル デジタルアート ミュージアム：エプソン チームラボ ボーダレス（以下、ボーダレス）。デジタルとアートが融合した作品を数多く手掛けてきたチームラボの初の常設ミュージアムで、１万平米もの広大な空間に約60作品を展示するという、大掛かりなものだ。ここではサウンド・チームの木本圭祐氏に話を伺い、この巨大アート施設を“音”の側面から見ていきたい。","14591.jpg"
3,"visit","船の科学館","science,tech",3.38,55.00,"船の科学館（ふねのかがくかん Museum of Maritime Science）は、公益財団法人日本海事科学振興財団が運営する海事博物館。東京都品川区東八潮の現東京臨海副都心地区に、1974年（昭和49年）7月に竣工・開館した。2011年10月に本館展示を休止[注釈 1]し、南極観測船「宗谷」の展示公開と屋外展示場での収蔵物展示を中心に博物館として営業しており、体験教室など各種イベントを継続して実施している。","123586651045416402577.jpg"
4,"visit","東京トリックアート迷宮館","art",3.37,35.00,"Tokyo Trick Art Museum located in Odaiba, Tokyo, is committed to enjoy the 3D artworks and the optical illusion. Have a fun at “Edo Area” created for the first time in the world, “Haunted Mansion with Funny Japanese Monsters” and “Trick Art Gallery” the best collections of artworks. Be careful to bring your camera!","P2260033-624x468.jpg"
5,"visit","ソニー エクスプローラサイエンス","tech,science",3.34,21.00,"光・音・エンタテイメントを楽しく学べる
ソニーのサイエンスミュージアム
エレクトロニクス製品やゲーム・音楽・映画などのエンタテイメント技術に活用されている科学を楽しく学べる体験型科学館です。

","150131-thumb-600x400-33343.jpg"
6,"visit","ダイバーシティ東京プラザ","landmark,gundam",4.08,297.00,"東京（ダイバーシティとうきょう、DiverCity Tokyo）は、東京都江東区青海にある複合商業施設およびオフィスビル，2Fフェスティバル広場には実物大ガンダム(RG1/1 RX-78-2 ガンダム Ver.GFT)が展示されており、一定の時間帯にて演出が行われている。夜間の演出では実機のライトアップに加え、横の大型ビジョンに特別映像が放映される。","photo02.jpg"
7,"visit","パレットタウン大観覧車","landmark,theme park,women",3.63,103.00,"パレットタウン大観覧車（パレットタウンだいかんらんしゃ）は、東京都江東区青海一丁目に立地するパレットタウン内にある観覧車である。","main.jpg"
8,"visit","レゴランド ディスカバリー センター 東京","theme park",3.44,69.00,"レゴ®ブロックで遊びながら、ものを作り出す楽しさを感じるレゴ教室やレゴ®レーサー、アスレチックや幼児向けのプレイグランドなど創造力を刺激する体験型アトラクションがいっぱいです。","BA6A8D2D40B84CE79E268B031E3C8E35_L.jpg"
9,"visit","東京ジョイポリス","theme park",3.44,66.00,"CAセガジョイポリス”が運営する国内最大級の屋内型遊園地！新たな非日常体験「デジタリアル（DigitaReal）」がコンセプト！！","25859-A6EWnxkfvQh1xH3NaMt9_lrg_re.jpg"
10,"visit","MEGA WEB","theme park,men,toyota,tech",3.65,94.00,"MEGAWEB (メガウェブ) は、東京都江東区青海のパレットタウン内にある、トヨタ自動車の展示ショールームである。","guide000000174146_4.jpg"
